E,F,L,I
34271440.89600165,18779.324106011074,252.1798058554818,348.15192979448244
31329925.005605854,32821.711151691496,257.6999775799568,378.08514162771
28606017.49785214,35643.861630199885,258.48959837866965,359.2564881427367
33886973.854032,19921.480968900094,256.4402239185194,378.5188351226903
29853897.7654423,24868.8872696155,258.966408043874,398.5609731995587
41243259.90842725,30970.32633084849,255.93190314083972,367.47657044669984
34172114.655547075,25186.993405969,257.09955428578184,318.6299222102653
33420259.719695657,34536.34150838396,253.04178776915842,356.74541890243535
28574118.364152152,27987.67520893497,251.22006591390735,370.4004863859068
34933453.875873916,25865.441395192982,253.47759953077852,371.4020372846671
28322227.171153396,38175.596183059846,256.4615813034695,355.69675295470296
33115106.387550645,36012.49710111868,259.58885638849716,336.6042657981778
40317013.44803205,31313.488714421623,253.90661566789112,375.03953236975
33175019.002290364,29274.510232136534,259.2402188750277,344.2974043639712
31082615.75489942,36788.141150326745,253.4048925711548,340.14220343706654
34133799.34563455,20425.54237370818,257.3397782952302,387.99329504769617
29256163.364577875,45252.23327672309,256.46096069362767,373.9629968818661
33412899.0881434,45912.12060609186,255.03815326584146,352.05621876388926
32230778.460457467,40811.84960628982,255.0247500897915,369.52499691612843
30970872.749470342,25279.920458841818,259.8179161245116,368.8925502780955
30218611.22317995,25562.63701500507,250.95896056412136,333.13294616342085
32267619.45388863,32719.02690124229,254.31306292483,381.49107950602087
34828724.214647956,34928.262727532885,256.84139795432054,348.0750096631831
40621343.163469836,30036.65527074968,255.50917967595313,342.8178515457833
33873801.85413462,38490.1493304457,252.90490716717565,407.9463269609724
30731633.252442766,29414.896794396092,259.0963468963181,356.060370977951
42488660.43314509,37517.26745379332,258.82776407333967,391.1484785937682
30540641.93560473,24390.600532480064,255.31461061884053,351.92505591915614
33167689.30132383,26408.913411054244,251.67399380539248,399.0519760180762
32714075.114372313,24086.241064652255,251.06466156784634,348.2587006840004
35421093.55411474,32467.508542578955,258.965506242039,345.4993949632054
28065310.01992609,31241.59937544925,254.344891939276,333.226715261208
29299460.09117609,31486.195912641448,259.4591744847671,327.7653438138106
29088231.829404004,23272.26722913267,259.94695631724096,322.6854984315229
32222345.578286134,38300.68689480012,254.69862634771206,352.4224704886321
29411152.547943186,26258.572894566947,255.05598551000102,331.66950159463573
30105468.653189957,21205.039366817346,253.76668606574458,388.09913751904105
28776993.991069507,23911.651597772252,253.44962420170012,356.1261788520813
42855746.55277337,19630.913332221207,251.3002205695958,359.0707644419402
38445277.50857269,21830.25627457229,257.64209978344076,377.18597548381507
31613149.732138388,36161.421669425275,254.89273075361632,334.6722594233106
28560609.920529693,42000.399630631335,253.40137660903207,402.9205656267144
35590493.7931652,26693.440452987143,252.70223765025864,377.5741379381715
37908926.81602487,18901.475491978148,257.3838829514649,391.7866259991571
34194449.86920661,17844.66693337346,253.23966946380506,387.9169063115101
32344626.43979797,20415.821831112073,255.5634387051178,353.1430938273371
28713511.93278657,41540.139501039055,252.7307370982485,367.7763186171266
28833184.423717473,24999.016672003978,255.73119983356497,391.9263998016147
31683595.55322614,25288.128166481067,257.91643042816366,361.3494462360959
29751070.14127966,34092.326186673854,257.4466599142374,350.9006962233941
32788501.189586196,23057.276206976283,259.307501930582,378.8207026350085
35920772.44311683,29461.93410821329,256.5844280513748,352.3305142730456
28794955.20082871,31089.235413263592,254.8559147792762,361.1130292203549
39645677.688911736,43662.73025441315,251.8184843900233,335.12179253189544
29952505.886650667,37674.32483928731,251.15482749948072,430.78187189743505
32170834.207640972,25357.39407795618,253.77651186370457,351.9846028255741
32555695.534072965,33183.9281486216,252.89344658672843,386.5659250162325
33855529.73824287,31200.7673562071,250.76609110176338,365.80971776655116
37569381.961077645,26577.40435711122,251.35707720195919,388.58198453323826
34145409.13451615,20797.757497566396,253.9990516353987,388.53517942753666
35013548.26187411,27104.312603758364,253.13494487056772,355.29612000862767
28522020.188363016,28114.293546390203,253.4103586130952,386.56978119541697
28070358.85302867,22744.574147848223,258.63246318038466,354.5435169671158
41789635.94094747,27001.834109740434,255.24084878047427,350.14525636622625
32210774.536306355,19142.676472365623,258.5575554372028,326.33691370547666
35111856.74660498,35539.48708668862,251.07658679278202,389.81899172409203
38869929.66762251,28423.480758951213,250.14357192346878,381.11526483990644
35401550.32939768,34868.896470402346,258.46450186216225,347.5909097025006
28625591.619740646,37617.593292690384,256.0866416898741,385.7876306648577
33124887.806119572,39721.621417057846,259.42777780633986,409.4133494075849
36228373.25214811,24453.203835256965,255.1297366004727,365.8380256213916
33558911.36168273,29668.159853406723,257.0626540211573,352.7080840043114
37687352.067759775,33136.464743959645,250.03884759559475,408.4393412299049
32030314.807057038,51739.04490271541,254.44327849449266,397.4569639063923
29473062.700028595,21518.45055404936,252.07464441838738,382.60805518062085
32081468.975071378,19937.407235639577,254.72684216137046,362.28472376008585
31929266.014285915,22486.374167390728,253.02185101812242,382.69552147673835
28932658.2587811,21842.382215856487,255.4368273147335,385.0531429450273
28509534.0306764,23297.22103288454,259.4367490942072,339.3054092589888
40992570.19769232,25943.53121710565,252.7402540025875,349.3434213133537
38055967.433218844,31611.515941468053,256.4480196322603,397.7906887878317
28170883.268801603,38686.851504336664,256.85653575643465,329.4038177212213
32741458.72254657,33199.67405102831,258.5263583614238,344.9586696472901
28229260.623836298,27810.985728892418,251.63389029447293,328.1710739031643
29620751.167044103,24469.763160933137,252.69010188870362,354.53176195878825
35287733.27437245,31684.54476510559,253.3038060994287,347.37743316462104
32950538.052377127,47841.041682018615,254.27125691707258,367.05679269923814
30137720.670909535,29826.25855781822,250.96664474729843,350.6807907180134
29323522.248341795,22525.97581099862,256.73246962843086,434.0301932662654
30579040.53998114,45526.93829527542,250.57154795356473,387.668319962445
38183973.98205759,42972.3787382797,258.7411502796873,397.1037226236465
36760012.33770572,30757.606835458962,256.50941128652374,355.47168168401845
34977554.247215204,21937.466904103698,250.37440950322903,379.8462675525217
33119666.157890912,27425.761717338213,259.8535355057738,375.9869465772992
32478616.246116877,27380.250572944908,252.48477929612926,390.4686955935363
28498871.30740805,19506.132318987253,255.0915320859977,337.0650039095314
39959612.023644604,29905.54610131494,255.46109930708286,357.6855932504407
38049479.288601294,26441.325186713722,254.9854324918863,362.59568642074265
31632276.488555323,26511.37913082108,255.2918555845601,333.5413545438367
34527774.891120754,21024.997674966733,250.51914429531573,375.43653442248774
35251294.495352946,29815.369603839437,256.57109510524253,381.1191266895086
30711812.247561403,22482.38806620267,252.31054405425886,362.37159629859565
30876706.751543693,22239.237438915225,252.8349037877029,339.1158746228215
29157590.347462967,26959.243249405175,250.37243220051897,336.68094261610617
40781020.710219145,35010.74605834625,252.2581703339887,358.07306584340654
28004288.059318036,25075.18371282985,253.5210869144687,342.16996095621397
29227104.37822758,30379.635614978324,250.30167343969606,375.28273230527066
29461244.596306294,23789.7186972248,253.26735186014767,365.5997941949825
28407557.255462095,21966.68512988044,254.6660028362629,402.2185835924419
32676072.9329722,42542.41210079155,253.63067103069375,345.76888802441357
35136903.51296406,38836.45765047177,254.66137430718317,364.1878152205845
29608286.980764296,19792.526945926256,254.285355089974,338.69059512763664
37835612.63393518,35957.8343767075,250.59396517844024,355.5347598268748
31566897.04208159,30573.77096914921,256.4286176850291,365.0031178845401
28159612.917023186,25160.958198918473,252.92730270431477,400.01906731899203
28690178.59315124,22972.815871815026,250.8280599666873,369.30237398576844
38421337.994623676,30946.056048939707,251.5830220285592,376.8342116185589
28496966.556915596,36496.38941835399,259.0410756645968,409.9317830265678
31260152.778173797,24586.834374154583,258.819074034382,379.895008941633
32680206.582471445,29843.94655704698,254.85348234239632,373.2366448322234
34612927.13849688,41041.90876620547,259.7314993786427,336.4036490008183
30080333.262013234,32774.77877621827,256.18080595918286,333.3573687648296
36057122.16114757,25980.730382853086,256.402855023532,400.10106789820367
28652783.495988123,39553.155600443715,250.46228934089189,384.7515061876146
32714059.567522224,25149.145425092458,253.0291304073298,430.1478644358068
40641625.38620156,27457.910602936267,253.64882791038318,366.9497305612663
32375706.279329896,24178.742241083808,258.70292985505375,393.8316300789206
31065390.164238293,20529.63833193161,252.17889184306654,352.50622184157305
30985737.657743145,28961.348567230685,259.0711585559836,376.82369358347745
31370498.771375682,20956.48596130108,254.33858877012543,353.82963353828495
28095408.58417764,27127.46626580001,250.79382236817594,366.3039878835167
30168959.097656306,23094.451532351377,256.39856438927444,391.19648357435534
30841789.270249635,22194.21431042855,254.72330304150617,376.9994169838438
32251522.71446244,20198.635201471225,256.4403203877481,386.1398015813054
32215353.441697575,34239.664572493595,254.44140114741,359.36586387159895
34596230.12797142,24903.726363409118,259.2671216449426,357.03310840016707
33823563.13724329,22817.96621690815,255.83620496005358,331.882153421956
29540966.22272388,33476.2125052229,250.2544501705264,362.60892872423705
29548956.042640284,22742.116924152982,256.92024235349044,362.8272900737379
32192661.26817161,39260.88921577946,258.81584917788894,332.3167789411172
28750268.150949,47154.96344269725,254.27922766373752,357.8442531624964
28612752.75869615,22889.16362853111,251.5405495828216,336.6402433780742
35845206.33810958,31234.318999698993,258.54974716545837,364.4651003756321
38848729.24681496,24486.647087161422,250.56959589974525,423.16022321740786
28289889.552448597,33754.41369472209,250.69591513570768,365.2389337410931
43175184.88376903,24912.078068148192,252.1136232290843,366.26307784919265
31334909.237661228,19861.010706030305,251.85517007799928,357.37205067174517
29253241.550891757,32534.77964186083,259.4836990479869,390.13223852406435
33783189.26040944,27734.18084036273,254.8543008111243,337.84980121651733
36666212.245348305,27015.96332511452,254.29744106452637,401.7125127609661
31950799.944246113,37616.235308759555,257.9763938662841,414.0421013784818
28220409.58451974,52114.96704377076,253.0876489861362,346.6764828742944
29125825.72503198,27273.74730612083,254.69229501671447,343.6198587689621
38445967.25422969,26119.796872417603,256.6742705497881,322.1942999467485
37407031.90255605,27364.631974471504,250.5714222693844,400.6815798814288
35473302.01118543,23396.002735344024,250.5054512564826,320.10894290633445
33282339.57431483,45296.74409274396,252.76896234576827,424.9374951534055
29157654.6104772,27142.796014699277,251.6218671151672,395.0438573825989
30330898.561337944,21101.092083532123,258.57716154013696,381.8098055524114
30965999.68238459,24957.606123341848,259.53967993375653,372.25422710041545
36082194.00655067,24835.976284407152,254.30752448813988,381.49448761342956
29404881.241793692,27671.639121900953,250.99949321203735,380.1169728550783
32184363.840987794,24924.141194962907,253.03558152884827,375.6423745123939
32664657.21689107,24334.172592578976,250.91355986870064,393.6540632062894
36146441.14703237,30441.14663373847,255.16439157400188,365.7123713686326
31396537.730517644,29949.54402840555,253.50696097371366,385.4582555345612
31691149.051109523,25918.68773961695,255.5561085273485,340.2322541044088
37779824.06575971,43102.81216772224,257.52176519359085,352.69248555470784
37878354.84158544,24305.622049237078,251.03131025698264,362.69477184732483
29552757.87357106,54101.14945698311,251.44210004694762,343.20579096385376
32310883.019934162,31655.298370065913,250.08108376783895,357.1773544459294
30074569.433007035,33095.392975139795,258.27992750600686,363.76837447835175
30900624.307135113,34408.10186747954,254.66731585516152,333.7991643681334
28343170.600464907,24644.508574150757,259.71860581979985,328.15101074991384
36596459.2716288,29133.781930975576,254.61060045034242,351.59606134217836
29540612.308945946,26134.50902551434,250.7553331600217,401.93033427806273
28604410.90291532,26246.421628342083,250.39218041334723,378.28945922824107
29893857.874344118,36125.85623850217,257.24155370184275,352.41983143824706
31927903.01840704,23142.171876695225,257.95292589005965,324.1971412406838
30432702.77027124,38314.20202984271,253.89206705074233,391.91103980034063
30339007.284741208,48663.38269231373,250.60683993312628,355.38196309831704
29549384.988253858,31031.484227522968,253.23993554422887,343.12508615421683
31712149.753763653,25893.91562783745,256.73942623962324,360.53918374621725
30085946.818560194,35919.72234153196,256.0366748502674,368.00717234841824
29068335.744277377,25751.6073230112,252.3604385730529,328.39898167267165
31472909.80992467,21910.602344442443,252.75049714811047,356.5600417868494
31407012.76806059,27202.24216129883,258.19232146622113,388.47876208698676
32211275.415679332,24132.650557711106,259.2947427916181,393.1103237273197
30983138.34508479,24949.376205269444,251.05675765705817,327.30337227870206
37663550.94234365,25396.622688186384,254.459173125544,339.25488051746294
45685391.86966,23672.39560575285,254.14311457901846,357.25214196684595
31653749.680831663,36437.24851527535,255.16746740411097,364.67899789107673
32611649.049502157,23881.138419103074,255.49203694759908,357.51441338452645
30567306.316375688,31831.42783634555,255.79789576979033,354.18901575803955
31570477.588927396,19251.71062465669,252.30896540476905,372.9847931538829
28110818.385264397,32487.836085662806,251.89669940600803,397.6027469616674
33979760.105343,28176.847915508617,252.7650481550784,392.00538194284474
38940255.85622169,25188.85145092442,251.53131817456017,352.7091340421495
29555909.915893007,23862.60030447044,252.86924850367814,366.65419821143445
34152652.18604666,23235.2322037068,251.52115755302307,368.4078347095127
38514727.6737352,34245.323084074786,258.936001896251,409.13778099693036
30136666.6484673,29906.878093030347,259.73272873825755,378.55493724081396
33351842.144082453,29561.542478578478,252.0987013061632,344.13581822746954
28403534.158127293,44167.69184687198,256.86974981440727,344.12630652320024
30571170.362098765,59149.37212131274,258.24859920249753,386.9503963119309
33377382.5865079,22181.056165852508,254.02648595785428,369.9674180537013
35808978.1400129,24104.629129563124,251.4511249323359,359.1675700855819
34976171.461156294,21543.239995769352,255.8720127827973,414.49759584913204
35155007.71288974,66306.04236549448,257.89062878927115,333.08346719994074
30408595.03874466,70547.02726176436,252.53786990606451,348.9706400625999
30052537.258015018,41671.156631374,256.487262255746,366.1441422546724
33059081.83583201,34428.75448710777,250.80919886432835,373.4259070658887
33847511.22452935,27149.857101530273,255.76047324916004,352.9498814625481
31809220.383280404,22003.152236935064,253.81183052161094,374.51328762302387
28358607.796097286,24356.165321083005,254.60928028684543,368.96122546688616
28426763.020424373,22453.31994180307,258.778711844336,340.67558549708394
31703811.217038155,33678.0850626867,254.1032063100166,377.36133496798925
28432323.59031464,27296.083271430136,256.81558220435346,398.8280704426778
32010291.728207186,22936.439069779837,254.02222940111486,367.2921046076117
36711259.70398448,28082.439942966106,251.9892364139218,359.38601675161954
29041387.75685916,27948.748209295187,254.91064336817266,377.1085238400288
29587447.13108033,23334.744376745195,258.2118586428324,346.69679901261554
29604222.703926664,54490.41645678706,250.0896250012542,386.64554403461324
38864493.402959846,30494.157097743693,258.27156816302517,364.21590530684415
29677464.976157214,23856.151322983133,250.43616316785364,423.9480568906469
29027485.193772506,26967.024990733596,250.00584437732022,400.03300567968824
37446304.8277213,32329.137937241863,256.79643997470157,388.55388816828196
35688331.526310995,37638.34199157556,250.37088777872734,352.7047389534664
30504980.113220125,41051.43680569279,255.41656512586624,379.9952610852906
34566304.737934254,23665.905216673113,251.64868519197307,346.74608338454163
28110391.622323956,25986.73446401665,252.22770652573024,343.89548837355227
32392661.634836163,28780.579621069555,257.9687779215744,342.18679264251443
32257950.58420881,27749.87656262203,256.91998306452916,353.56056414264367
35816585.78188497,32553.00612280831,252.70272178841324,398.08783372756244
29085512.054225985,24452.27159662998,252.27500692807433,405.83490029717774
32730201.259110674,22581.885862196876,256.30691158714006,354.2578283831337
29300880.69628421,23635.827225831345,257.4443829340827,327.8897076945722
37954515.244876124,24599.669954181765,253.9272712194437,420.04762516847507
30716532.66857227,32649.029064332426,257.0894823210484,324.2122769152446
28935290.223036677,26075.81067252213,256.7257456239302,362.2515611678078
43904253.130751446,24978.296501337805,250.58770776759312,328.18772407791505
28042113.580278877,26019.632138126846,254.43672575611205,345.2006507631432
38482123.707345665,32373.294517024086,254.36055598228177,358.29505359567054
42402776.286016,26017.2698309993,252.41562274095088,346.7893939783794
33946236.73255983,27482.494061227273,257.5745719407696,380.81024560719806
28242889.079163074,26414.740647558865,256.53365352776854,368.86989622167465
31746894.068995863,27125.312513770397,258.8886777266232,312.7481848142208
30938672.708770763,21135.43499399242,254.8720773932465,358.00672976023463
34753583.334952235,28779.54596088695,251.26023471822273,342.20572792070146
30967403.022351876,21117.895908027698,255.59552654554625,326.9757183936137
31495798.63360541,41343.503445436196,252.12555294907364,363.51322351507037
29192509.74946484,40780.90076923115,259.3155610394175,354.2561545523369
30334444.90624857,51666.20348603781,259.3833583366991,328.85379452517225
34363425.77496662,41624.41351356265,257.6190937374611,342.47263667294334
30962134.27207969,28135.7358620014,255.50165880534297,406.7511618823687
30386301.484665636,33320.72175958511,254.1253153257964,372.5002569431485
30261521.3154554,21751.11785726092,257.5030288198895,364.87546139817044
33798044.25685571,28057.940412078427,259.89043130684865,366.1858432569985
29619849.477618895,24579.89687907673,250.6726369733604,384.8121991409388
29816583.920887608,22997.10644659219,259.8601604907102,356.3126482042892
28255478.48779342,37848.00954881402,253.43617484774558,381.4615552011025
29574335.27968478,45238.67464786256,255.37706922662866,399.1286251603702
28089663.454970952,23841.79345643083,250.32048739123582,405.0900006773102
31077362.302721173,20153.970374119228,250.91044016574747,327.1151253559471
31496635.204912383,27472.556534727315,252.39656942679198,364.0022581075573
30121944.993606858,21531.34255930778,251.61916493291108,323.08875895362087
31955738.945007097,30072.64141783236,258.1340100560505,330.59520201507877
38867338.20943992,26750.978148437247,254.09992974907584,392.1484952421385
31792255.337133233,19275.494263685403,250.60089814253948,422.63508302428596
28548283.83900589,44622.84890706443,254.39130724627125,375.3849841011968
41989763.1395486,29028.655599652746,258.67498239578913,331.86442579837404
34510872.711932555,32046.14915257678,254.39106799120555,375.4598613017017
37368499.9241648,33930.889295548215,258.65259981962197,333.3396610157267
31245553.57628101,25127.5292387672,253.53361758408386,390.13082587369655
31819404.009465314,33125.55935297166,254.15703084398083,356.1665362611264
33932297.89765874,32272.026985184257,259.6967396975075,324.90009599051905
35333938.16780086,21158.03933861529,258.79418264514845,412.20719024653675
29200465.760816455,26980.92058372341,258.0869693366107,369.458152588341
28989033.79681619,46415.53571773472,251.20321948146255,340.2604672602281
36427758.82626387,24726.11480957734,251.0437712701073,327.43974564159925
35781460.99913283,21795.90283490409,257.04496238079827,344.385127991478
28777176.977648765,44245.285090404024,255.2104835648332,420.7591268446149
28335617.957010474,27374.788659591468,257.7476939641233,402.6197597485691
28881637.551381823,27319.78328186179,251.70613072515224,373.07782475595474
34259563.20748147,22732.18544853141,254.77391794980383,345.05729496047553
42559374.898674026,24363.29304314495,254.88416485532363,327.9270939490593
29439528.674438067,24349.25141757124,256.2198985176456,337.63644242642795
30752530.44792262,29135.063670732383,259.3491816276917,371.04732655453705
42958456.787384644,29587.042278367662,259.28343761156475,355.0072622525255
32911773.49768164,40253.23624408274,253.45794209827397,406.083835047131
28645373.027970158,17307.67255979759,255.60626031745858,351.5877671502739
33200082.99133882,30861.844514964178,253.61192006202043,387.55863380264805
31744015.98710975,29864.512963178804,254.0620926501994,362.881041271901
28003761.119920477,26007.58867072813,252.12134810767284,407.1758917205353
33290174.77615994,19305.4201008697,259.71951648140254,410.3234854651433
35254950.118058436,24697.71423626648,255.12203446660502,429.43820520720243
31771903.32277354,19459.245993423374,250.39763303833809,415.51879024927604
30855421.97348466,33702.723637177,250.36691768557108,377.4453523734718
33320649.57777634,30427.22243526577,252.2257499330279,350.89751113621946
33697730.46214328,31641.162430856366,251.32700844721867,369.8574766227768
30029742.708514877,19280.37266264124,254.76030988430833,405.86247144342263
32634689.02636069,30195.73326447553,253.51960543088532,406.4841498584749
38804897.230818704,30322.950707049837,251.40675950950958,382.8944609636302
32526073.717566285,20172.384343777343,257.01196430022725,360.3947875320448
28509330.225969084,29786.394201111267,255.7495480172894,369.97176695072636
43526870.51962939,30200.635569012087,250.5910160255734,374.71359866063074
29654174.874626722,49088.74631788016,256.7042524868143,391.670342116541
31288514.13136908,34002.605382372916,255.6801874034052,377.4358995441287
37385560.626362085,31897.14695751243,259.9951786773785,352.7145859666064
28405546.083289474,34116.8824996967,258.80082862362445,393.3259349780116
28845956.759122826,31911.6127071677,254.58180985349566,343.59648471613633
28672257.50633685,26918.468768139064,256.06110657610594,342.0993425830914
36531331.50674644,36067.824359783495,250.41681770727777,373.90191025345695
32581880.27232319,42204.545639978314,255.01664913167951,378.52171052107235
36022068.13003892,23906.08058562522,254.00961752713988,338.124366187117
29077045.066908725,34037.81580951714,256.76394346305904,380.9523238633597
37206935.06029352,22920.203466842544,250.80511171549398,346.6349720019662
29495111.03846627,35423.38246030174,255.04816793657085,333.4530049403231
34789636.27272041,65196.165019780696,254.20516719538642,362.5608783830505
31767920.60551166,32048.379742162146,256.1632121180302,349.2210399278904
28515006.71080772,23601.715931081868,251.1242608226275,370.64066114358553
29010419.761064123,19257.308060498603,252.5881059009789,389.1890157777832
30833286.922931753,28828.04323232323,253.40138771825636,396.24817553641606
36430699.894368924,26162.341986259602,259.6675370512007,341.42810833323546
36252567.30078955,26724.06409815239,259.6308910285702,334.35844787264006
32386349.96911583,31727.50928467314,255.71436759479997,363.09877543282306
35502557.96107966,40741.139302209325,255.1454551043812,329.09963503013626
28324273.01618471,28886.24684004757,250.99995520612293,364.24718530394307
40207613.744357035,21633.02075911141,256.5321174563783,348.4626838341148
36201855.689977,31428.344162482754,256.79589987334,380.1812166658325
30633813.9091722,44078.294779487194,251.00827507563756,339.1268251355805
41354845.99656359,24896.512602254505,251.7801004227152,334.3870050724907
30091837.156386074,31914.08680822717,256.5265775869796,378.1088626881175
39124175.1007463,32682.752766455662,252.55518073099043,331.30418533031536
28503719.514044777,27409.11002378595,254.38717827026701,334.78768698470066
29888749.978648636,47484.77350678717,258.591612782487,372.8691531026324
33198991.97274311,23037.675939083074,251.2475205750617,338.389633010445
38672062.49073434,36440.82773875471,250.2157712509346,384.66082449189673
29909343.00038956,21501.737628786817,258.4620759314137,341.2257051692382
30381656.543536272,66398.64930993886,259.9335694454411,351.64930882705727
29168374.338913877,28505.639556809627,252.30978886467753,334.68659840696506
28138046.82896218,26978.69338330854,252.93030743305147,384.38711613461425
31312913.920810837,23741.121508323296,252.54635512390664,388.9004288304046
31823705.523411285,25768.84594436267,258.8676296485785,327.5524896707193
36414391.79823067,24100.11091675022,255.5474609329808,353.1826270152076
30884081.004066877,20367.25081313555,254.99875797602363,332.51812576708073
31448392.113408398,21060.16027760003,254.7545346585018,376.28337195412337
31257409.978225775,44158.52026551261,258.08407291787535,341.1420524393768
34427016.877973,30198.920917744486,253.15613653178332,367.2511236411345
31842089.4491385,31302.738452869617,252.94233554929818,368.8163529587421
28008241.585750412,20780.405909177683,256.73967084486145,353.8059054094103
28484496.649869904,26487.452730697627,254.90070529971507,386.40932766257174
29703862.11058849,24023.206140414004,250.08827341140986,360.4539459358225
31030488.618855663,23527.97306411527,257.4978313481807,337.7195224450837
32995568.39817596,24583.835003688924,253.28190992272792,389.45143883258527
31378870.75533808,30101.30422684519,257.75512979521704,378.6291885329658
28952173.700827576,20294.740060147946,257.9542850605846,357.8822082451199
28908127.609501597,20901.051976828472,259.09943597063506,341.38917595433634
